Classe,Embarcação,Sigla,Data,Local de realização,Regiões do casco limpas,Condição geral da embarcação,Tipo de incrustação da embarcação,Condição do fundo chato,Tipo de incrustação do fundo chato,Condição do costado,Tipo de incrustação do costado,Condição do hélice,Tipo de incrustação do hélice
Aframax,Carla Silva,CSI,8/29/2025,Angra dos Reis/RJ,N/A,100%,"Craca, alga e limo",100%,Incrustações duras e moles,"100%, 20%",Moles (100%) e Duras (20%),100%,Moles e Duras
Suezmax,Raul Martins,RMA,3/30/2023,São Sebastião/SP,N/A,10%,Duras no fundo,10%,Duras,Não consta no relatório,Não consta no relatório,40%,Moles e Duras
MR2,Eduardo Costa,EDC,1/11/2025,São Sebastião/SP,N/A,10%,Moles e duras,10%,Moles (5%) e Duras (5%),5%,Moles,80%,Moles
Suezmax,Victor Oliveira,VOL,3/3/2021,Salvador/BA,N/A,30%,Cracas e limo,30%,Cracas e limo,30%,Cracas e limo,90%,Cracas e limo
Aframax,Carla Silva,CSI,8/21/2021,Angra dos Reis/RJ,N/A,100%,Alga e limo,100%,Alga e limo,100%,Alga e limo,85%,"Alga, limo e calcárea"
Suezmax,Giselle Carvalho,GIC,1/10/2023,Angra dos Reis/RJ,N/A,10%,"Craca, alga e limo",10%,"Craca, alga e limo",10%,"Craca, alga e limo",100%,Alga e limo
Aframax,Daniel Pereira,DAP,1/18/2021,Salvador/BA,N/A,20%,"Craca, alga e limo",20%,"Craca, alga e limo",20%,"Craca, alga e limo",70%,"Craca, alga e limo"
Suezmax,Felipe Ribeiro,FRB,9/4/2021,Salvador/BA,N/A,100%,"Craca, alga e limo",100%,"Craca, alga e limo",100%,"Craca, alga e limo",100%,"Craca, alga, limo e calcárea"
Suezmax,Henrique Alves,HAL,6/21/2022,Baía de todos os santos/BA,N/A,90%,Cracas e limo,100%,Cracas e limo,80%,Cracas e limo,100%,Cracas e limo
Suezmax,Felipe Ribeiro,FRB,12/31/2022,Angra dos Reis/RJ,N/A,80%,"Craca, alga e limo",80%,"Craca, alga e limo",80%,"Craca, alga e limo",80%,"Craca, alga e limo"
Aframax,Renato Gomes,REG,8/17/2025,Rotterdam/NL,Fundo chato,  3 ,NORMAN,  3 ,NORMAN,  3 ,NORMAN,N/A,N/A
